timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1729908106.024665,1,10.0.0.2010.0.0.301,10.0.0.2,0,10.0.0.3,0,1,0,0,8,724000000,20,100,0,8,784,1.0,1.1049723756906078e-08,98.0,1.0828729281767956e-06,0
1729908106.024665,1,10.0.0.34690110.0.0.1505117,10.0.0.3,46901,10.0.0.1,5051,17,0,0,8,577000000,20,100,0,772,1167264,96.5,1.337954939341421e-06,145908.0,0.0020229878682842288,0
1729908106.024665,1,10.0.0.34690110.0.0.250511,10.0.0.3,46901,10.0.0.2,5051,1,0,8,8,731000000,20,100,0,8,784,1.0,1.0943912448700411e-08,98.0,1.0725034199726402e-06,0
1729908116.040028,5,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,9,515000000,20,100,0,153584,10137184,17064.88888888889,0.000298221359223301,1126353.7777777778,0.019683852427184467,0
1729908116.040028,5,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,9,564000000,20,100,0,310996,14229786112,34555.11111111111,0.0005514113475177305,1581087345.7777777,25.230117219858155,0
1729908116.040028,5,10.0.0.153367210.0.0.750501,10.0.0.15,33672,10.0.0.7,5050,1,0,8,9,585000000,20,100,0,8,784,0.8888888888888888,1.3675213675213676e-08,87.11111111111111,1.34017094017094e-06,0
1729908116.040028,5,10.0.0.73367210.0.0.1550501,10.0.0.7,33672,10.0.0.15,5050,1,0,0,9,562000000,20,100,0,8,784,0.8888888888888888,1.4234875444839858e-08,87.11111111111111,1.395017793594306e-06,0
1729908116.041317,3,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,9,541000000,20,100,0,153584,10137184,17064.88888888889,0.0002838890942698706,1126353.7777777778,0.018737863216266172,0
1729908116.041317,3,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,9,559000000,20,100,0,310997,14229851338,34555.22222222222,0.0005563452593917711,1581094593.1111112,25.455905792486583,0
1729908116.041317,3,10.0.0.153367210.0.0.750501,10.0.0.15,33672,10.0.0.7,5050,1,0,8,9,578000000,20,100,0,8,784,0.8888888888888888,1.384083044982699e-08,87.11111111111111,1.356401384083045e-06,0
1729908116.041317,3,10.0.0.73367210.0.0.1550501,10.0.0.7,33672,10.0.0.15,5050,1,0,0,9,573000000,20,100,0,8,784,0.8888888888888888,1.3961605584642233e-08,87.11111111111111,1.368237347294939e-06,0
1729908116.042343,1,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,9,546000000,20,100,0,153584,10137184,17064.88888888889,0.0002812893772893773,1126353.7777777778,0.018566271062271062,0
1729908116.042343,1,10.0.0.18010.0.0.3597486,10.0.0.1,80,10.0.0.3,59748,6,-1,-1,9,656000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908116.042343,1,10.0.0.18010.0.0.3597626,10.0.0.1,80,10.0.0.3,59762,6,-1,-1,9,632000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908116.042343,1,10.0.0.1505110.0.0.34690117,10.0.0.1,5051,10.0.0.3,46901,17,-1,-1,9,689000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908116.042343,1,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,9,551000000,20,100,0,311001,14229851602,34555.666666666664,0.0005644301270417422,1581094622.4444444,25.825502,0
1729908116.042343,1,10.0.0.23367210.0.0.350501,10.0.0.2,33672,10.0.0.3,5050,1,0,0,18,728000000,20,100,0,17,1666,0.9444444444444444,2.3351648351648352e-08,92.55555555555556,2.2884615384615383e-06,0
1729908116.042343,1,10.0.0.35974810.0.0.1806,10.0.0.3,59748,10.0.0.1,80,6,0,0,9,661000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908116.042343,1,10.0.0.35976210.0.0.1806,10.0.0.3,59762,10.0.0.1,80,6,0,0,9,636000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908116.042343,1,10.0.0.34690110.0.0.1505117,10.0.0.3,46901,10.0.0.1,5051,17,0,0,18,581000000,20,100,0,803,1214136,44.611111111111114,1.3820998278829605e-06,67452.0,0.002089734939759036,0
1729908116.042343,1,10.0.0.34690110.0.0.250511,10.0.0.3,46901,10.0.0.2,5051,1,0,8,18,735000000,20,100,0,17,1666,0.9444444444444444,2.312925170068027e-08,92.55555555555556,2.266666666666667e-06,0
1729908116.0433,4,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,9,534000000,20,100,0,153584,10137184,17064.88888888889,0.00028761048689138576,1126353.7777777778,0.01898349063670412,0
1729908116.0433,4,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,9,558000000,20,100,0,310996,14229786112,34555.11111111111,0.0005573405017921147,1581087345.7777777,25.501408802867385,0
1729908116.0433,4,10.0.0.153367210.0.0.750501,10.0.0.15,33672,10.0.0.7,5050,1,0,8,9,580000000,20,100,0,8,784,0.8888888888888888,1.3793103448275862e-08,87.11111111111111,1.3517241379310344e-06,0
1729908116.0433,4,10.0.0.73367210.0.0.1550501,10.0.0.7,33672,10.0.0.15,5050,1,0,0,9,564000000,20,100,0,8,784,0.8888888888888888,1.4184397163120567e-08,87.11111111111111,1.3900709219858156e-06,0
1729908116.044037,2,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,9,544000000,20,100,0,153584,10137184,17064.88888888889,0.0002823235294117647,1126353.7777777778,0.018634529411764706,0
1729908116.044037,2,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,9,556000000,20,100,0,311000,14229851536,34555.555555555555,0.0005593525179856115,1581094615.1111112,25.593258158273382,0
1729908126.031496,4,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,19,538000000,20,100,0,167325,11044174,8806.578947368422,0.00031101301115241635,581272.3157894737,0.020528204460966544,0
1729908126.031496,4,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,19,562000000,20,100,0,341311,15648349478,17963.736842105263,0.0006073149466192171,823597340.9473684,27.84403821708185,0
